name,url,class_href,class_title,class_date_post,class_source,class_content,click_search,class_next_page,domain,replace_nxt_p,case_display,class_tr_dl,click_sort,class_gsc_cursor_page,nam_script,,,,,,,,,
ascii,https://ascii.jp,"#___gcse_0 > div > div > div > div.gsc-wrapper > div.gsc-resultsbox-visible > div > div > div.gsc-webResult.gsc-result > div.gs-webResult.gs-result > div.gsc-table-result > div.gsc-table-cell-snippet-close > div > a,#___gcse_0 > div > div > div > div.gsc-wrapper > div.gsc-resultsbox-visible > div > div > div.gsc-expansionArea > div > div.gs-webResult.gs-result > div.gsc-table-result > div.gsc-table-cell-snippet-close > div > a","#___gcse_0 > div > div > div > div.gsc-wrapper > div.gsc-resultsbox-visible > div > div > div.gsc-webResult.gsc-result > div.gs-webResult.gs-result > div.gsc-table-result > div.gsc-table-cell-snippet-close > div > a,#___gcse_0 > div > div > div > div.gsc-wrapper > div.gsc-resultsbox-visible > div > div > div.gsc-expansionArea > div > div.gs-webResult.gs-result > div.gsc-table-result > div.gsc-table-cell-snippet-close > div > a",#articleHead > div.artdata > p.date,null,#mainC > p,1,null,https://ascii.jp,null,10,null,2,gsc-cursor-page,ana1.tpr,,,,,,,,,
engadget,https://japanese.engadget.com,#module-engadget-search-streams > div > div > div > div > div > div > ul > li > a,#module-engadget-search-streams > div > div > div > div > div > div > ul > li > a > div > div > div > h2,body > div > div > div > main > div > div.grid.flex.fixto_top > div > article > header > div > div > section > div > div > div > div.th-meta,#page_body > div > div > div > div > footer > div > div > div > section > div:nth-child(2) > span.th-meta,#page_body > div > div > div> div > div > div > div,2,stp=,https://japanese.engadget.com,stp=1,10,null,0,page-link,ana1.tpr,,,,,,,,,
gizmodo,https://www.gizmodo.jp/,#searchResultList > ul > li > article > div > h3 > a,#searchResultList > ul > li > article > div > h3 > a,body > main > div > article > ul:nth-child(4) > li > time,null,body > main > div > article > div.p-post-content,2,null,https://www.gizmodo.jp,stp=1,50,null,0,null,ana1.tpr,,,,,,,,,
itmedia,http://kensaku.itmedia.co.jp,#popin_content_main > ul > li > div.popIn_ArticleTitle > a,#popin_content_main > ul > li > div.popIn_ArticleTitle > a,#masterContents > div > div > div > div > div > div.inner > span#update,null,#masterContents > div > div > div > div > div > div.inner > p,1,&start=,https://www.itmedia.co.jp,null,10,null,0,popIn_NavigatorBox,ana1.tpr,,,,,,,,,
japancnet,https://japan.cnet.com/,"#___gcse_0 > div > div > div > div > div > div > div > div > div > div.gsc-thumbnail-inside > div > a,#___gcse_0 > div > div > div > div > div > div > div > div > div > div > div.gsc-thumbnail-inside > div > a","#___gcse_0 > div > div > div > div > div > div > div > div > div > div.gsc-thumbnail-inside > div > a,#___gcse_0 > div > div > div > div > div > div > div > div > div > div > div.gsc-thumbnail-inside > div > a",#leaf-column > div > div > div.leaf-headline-inner > span.date > a,null,#leaf-column > div.leaf-article-inner.block_story > div > p,1,null,https://japan.cnet.com,stp=1,10,null,2,gsc-cursor-page,ana1.tpr,,,,,,,,,
monoistatmarkit,http://monoist.atmarkit.co.jp/,#___gcse_0 > div > div > div > div > div> div > div > div > div > div > div> div > a,#___gcse_0 > div > div > div > div > div> div > div > div > div > div > div> div > a,#cmsDate > div > span#update,null,#cmsBody > div > p,2,null,https://monoist.atmarkit.co.jp,/?s=,10,null,2,gsc-cursor-page,ana1.tpr,,,,,,,,,
nikkan,https://www.nikkan.co.jp/,body > div > div > div > div> div > a,body > div > div > div > div> div > a,#changeArea > p.date,null,#changeArea > div > p,1,stp=,https://www.nikkan.co.jp,stp=1,20,null,0,current,ana1.tpr,,,,,,,,,
nikkei,https://www.nikkei.com/,body > div > main > div > div> div > div> div > div > div > div > div > div > div> div> h3 > a,body > div > main > div > div> div > div> div > div > div > div > div > div > div> div> h3,#CONTENTS_MAIN > div > dl > dd,null,#CONTENTS_MAIN > div> div> p,1,null,https://www.nikkei.com/,null,9,null,0,null,ana1.tpr,,,,,,,,,
response,https://response.jp/,"#___gcse_0 > div > div > div > div.gsc-wrapper > div > div > div > div> div > div.gsc-thumbnail-inside > div > a,#___gcse_0 > div > div > div > div.gsc-wrapper > div > div> div > div > div> div> div.gsc-thumbnail-inside > div > a","#___gcse_0 > div > div > div > div.gsc-wrapper > div > div > div > div> div > div.gsc-thumbnail-inside > div > a,#___gcse_0 > div > div > div > div.gsc-wrapper > div > div> div > div > div> div> div.gsc-thumbnail-inside > div > a",body > div> main > header > time,null,body > div > main > div> article>p,1,null,https://response.jp,null,0,null,0,gsc-cursor-page,ana1.tpr,,,,,,,,,
tech,https://tech.nikkeibp.co.jp/,#wrapper > div > article > div > section > ul > li > div> h3 > a,#wrapper > div > article > div > section > ul > li > div> h3,#wrapper > div > article > header > div.articleHeaderTop > time,null,#wrapper > div > article > div,1,&p=,https://tech.nikkeibp.co.jp,null,20,null,0,#wrapper > div > article > div > nav > ul > li,ana1.tpr,,,,,,,,,
